,Suburb,Price,Date,CouncilArea
0,Abbotsford,1480000.0,3/12/2016,Yarra
1,Abbotsford,1035000.0,4/02/2016,Yarra
2,Abbotsford,1465000.0,4/03/2017,Yarra
3,Abbotsford,850000.0,4/03/2017,Yarra
4,Abbotsford,1600000.0,4/06/2016,Yarra
5,Abbotsford,941000.0,7/05/2016,Yarra
6,Abbotsford,1876000.0,7/05/2016,Yarra
7,Abbotsford,1636000.0,8/10/2016,Yarra
8,Abbotsford,300000.0,8/10/2016,Yarra
9,Abbotsford,1097000.0,8/10/2016,Yarra
10,Abbotsford,700000.0,12/11/2016,Yarra
11,Abbotsford,1350000.0,12/11/2016,Yarra
12,Abbotsford,750000.0,12/11/2016,Yarra
13,Abbotsford,1172500.0,13/08/2016,Yarra
14,Abbotsford,441000.0,14/05/2016,Yarra
15,Abbotsford,1310000.0,15/10/2016,Yarra
16,Abbotsford,1200000.0,16/07/2016,Yarra
17,Abbotsford,1176500.0,16/07/2016,Yarra
18,Abbotsford,955000.0,17/09/2016,Yarra
19,Abbotsford,890000.0,17/09/2016,Yarra
20,Abbotsford,1330000.0,18/03/2017,Yarra
21,Abbotsford,900000.0,18/03/2017,Yarra
22,Abbotsford,1090000.0,18/03/2017,Yarra
23,Abbotsford,500000.0,18/06/2016,Yarra
24,Abbotsford,1100000.0,18/06/2016,Yarra
25,Abbotsford,1315000.0,19/11/2016,Yarra
26,Abbotsford,426000.0,22/08/2016,Yarra
27,Abbotsford,1447500.0,22/08/2016,Yarra
28,Abbotsford,457000.0,22/08/2016,Yarra
29,Abbotsford,1135000.0,22/08/2016,Yarra
30,Abbotsford,1542000.0,24/09/2016,Yarra
31,Abbotsford,1290000.0,25/02/2017,Yarra
32,Abbotsford,1290000.0,25/02/2017,Yarra
33,Abbotsford,470000.0,26/07/2016,Yarra
34,Abbotsford,1180000.0,27/11/2016,Yarra
35,Abbotsford,1195000.0,27/11/2016,Yarra
36,Abbotsford,1012500.0,28/05/2016,Yarra
37,Abbotsford,1030000.0,30/07/2016,Yarra
38,Airport West,840000.0,3/09/2016,Moonee Valley
39,Airport West,730000.0,3/12/2016,Moonee Valley
40,Airport West,770000.0,4/03/2017,Moonee Valley
41,Airport West,603000.0,4/03/2017,Moonee Valley
42,Airport West,700000.0,4/03/2017,Moonee Valley
43,Airport West,600000.0,4/03/2017,Moonee Valley
44,Airport West,500000.0,4/03/2017,Moonee Valley
45,Airport West,720000.0,6/08/2016,Moonee Valley
46,Airport West,785000.0,6/08/2016,Moonee Valley
47,Airport West,725000.0,7/05/2016,Moonee Valley
48,Airport West,450000.0,7/05/2016,Moonee Valley
49,Airport West,515000.0,7/11/2016,Moonee Valley
50,Airport West,530000.0,10/09/2016,Moonee Valley
51,Airport West,895000.0,10/09/2016,Moonee Valley
52,Airport West,805000.0,10/12/2016,Moonee Valley
53,Airport West,752000.0,11/02/2017,Moonee Valley
54,Airport West,440000.0,13/08/2016,Moonee Valley
55,Airport West,755000.0,14/05/2016,Moonee Valley
56,Airport West,700000.0,15/10/2016,Moonee Valley
57,Airport West,830000.0,16/04/2016,Moonee Valley
58,Airport West,462500.0,16/07/2016,Moonee Valley
59,Airport West,670000.0,16/07/2016,Moonee Valley
60,Airport West,675000.0,16/07/2016,Moonee Valley
61,Airport West,1042000.0,16/07/2016,Moonee Valley
62,Airport West,910000.0,17/09/2016,Moonee Valley
63,Airport West,773000.0,17/09/2016,Moonee Valley
64,Airport West,810000.0,18/03/2017,Moonee Valley
65,Airport West,715000.0,18/03/2017,Moonee Valley
66,Airport West,790000.0,18/03/2017,Moonee Valley
67,Airport West,540000.0,18/06/2016,Moonee Valley
68,Airport West,825000.0,19/11/2016,Moonee Valley
69,Airport West,685000.0,22/05/2016,Moonee Valley
70,Airport West,805000.0,22/08/2016,Moonee Valley
71,Airport West,510000.0,22/08/2016,Moonee Valley
72,Airport West,612000.0,22/08/2016,Moonee Valley
73,Airport West,662000.0,23/04/2016,Moonee Valley
74,Airport West,978000.0,24/09/2016,Moonee Valley
75,Airport West,720000.0,25/02/2017,Moonee Valley
76,Airport West,765000.0,27/11/2016,Moonee Valley
77,Airport West,900000.0,27/11/2016,Moonee Valley
78,Albert Park,1275000.0,3/09/2016,Port Phillip
79,Albert Park,1455000.0,3/09/2016,Port Phillip
80,Albert Park,2850000.0,4/03/2017,Port Phillip
81,Albert Park,1850000.0,4/03/2017,Port Phillip
82,Albert Park,1436000.0,4/03/2017,Port Phillip
83,Albert Park,1110000.0,6/08/2016,Port Phillip
84,Albert Park,1550000.0,7/05/2016,Port Phillip
85,Albert Park,2300000.0,7/05/2016,Port Phillip
86,Albert Park,1550000.0,7/11/2016,Port Phillip
87,Albert Park,1800000.0,7/11/2016,Port Phillip
88,Albert Park,2120000.0,10/09/2016,Port Phillip
89,Albert Park,1800000.0,10/09/2016,Port Phillip
90,Albert Park,1800000.0,10/09/2016,Port Phillip
91,Albert Park,1810000.0,10/12/2016,Port Phillip
92,Albert Park,2615000.0,10/12/2016,Port Phillip
93,Albert Park,2100000.0,10/12/2016,Port Phillip
94,Albert Park,1300000.0,10/12/2016,Port Phillip
95,Albert Park,1370000.0,12/06/2016,Port Phillip
96,Albert Park,1000000.0,12/11/2016,Port Phillip
97,Albert Park,2575000.0,15/10/2016,Port Phillip
98,Albert Park,1322500.0,15/10/2016,Port Phillip
99,Albert Park,1562500.0,15/10/2016,Port Phillip
100,Albert Park,2000000.0,16/04/2016,Port Phillip
101,Albert Park,1900000.0,18/03/2017,Port Phillip
102,Albert Park,3010000.0,18/03/2017,Port Phillip
103,Albert Park,2800000.0,18/06/2016,Port Phillip
104,Albert Park,647000.0,22/05/2016,Port Phillip
105,Albert Park,2100000.0,23/04/2016,Port Phillip
106,Albert Park,2000000.0,24/09/2016,Port Phillip
107,Albert Park,442500.0,25/02/2017,Port Phillip
108,Albert Park,4735000.0,25/02/2017,Port Phillip
109,Albert Park,1340000.0,25/02/2017,Port Phillip
110,Albert Park,1801000.0,25/02/2017,Port Phillip
111,Albert Park,1532000.0,26/07/2016,Port Phillip
112,Albert Park,3755000.0,26/07/2016,Port Phillip
113,Albert Park,2140000.0,27/06/2016,Port Phillip
114,Albert Park,1750000.0,27/11/2016,Port Phillip
115,Albert Park,980000.0,28/05/2016,Port Phillip
116,Albert Park,2030000.0,28/08/2016,Port Phillip
117,Albert Park,1740000.0,28/08/2016,Port Phillip
118,Albert Park,2800000.0,30/07/2016,Port Phillip
119,Albert Park,985000.0,30/07/2016,Port Phillip
120,Alphington,2000000.0,3/09/2016,Darebin
121,Alphington,1110000.0,3/09/2016,Yarra
122,Alphington,1492000.0,4/03/2017,Darebin
123,Alphington,1717500.0,8/10/2016,Darebin
124,Alphington,2840000.0,12/06/2016,Darebin
125,Alphington,525500.0,12/11/2016,Darebin
126,Alphington,805000.0,12/11/2016,Darebin
127,Alphington,465000.0,12/11/2016,Darebin
128,Alphington,2000000.0,15/10/2016,Darebin
129,Alphington,1540000.0,16/04/2016,Darebin
130,Alphington,820000.0,18/03/2017,Darebin
131,Alphington,1830000.0,19/11/2016,Darebin
132,Alphington,2100000.0,19/11/2016,Darebin
133,Alphington,865000.0,22/05/2016,Darebin
134,Alphington,390000.0,22/05/2016,Darebin
135,Alphington,650000.0,24/09/2016,Yarra
136,Alphington,512000.0,25/02/2017,Darebin
137,Alphington,1165000.0,27/06/2016,Yarra
138,Alphington,1900000.0,27/11/2016,Yarra
139,Alphington,1485000.0,28/08/2016,Darebin
140,Alphington,1950000.0,30/07/2016,Darebin
141,Altona,520000.0,3/09/2016,Hobsons Bay
142,Altona,1525000.0,3/12/2016,Hobsons Bay
143,Altona,720000.0,4/02/2016,Hobsons Bay
144,Altona,1120000.0,4/03/2017,Hobsons Bay
145,Altona,780000.0,4/06/2016,Hobsons Bay
146,Altona,1780000.0,4/06/2016,Hobsons Bay
147,Altona,630000.0,6/08/2016,Hobsons Bay
148,Altona,406000.0,6/08/2016,Hobsons Bay
149,Altona,660000.0,7/05/2016,Hobsons Bay
150,Altona,683500.0,7/11/2016,Hobsons Bay
151,Altona,580000.0,8/10/2016,Hobsons Bay
152,Altona,1335000.0,8/10/2016,Hobsons Bay
153,Altona,800000.0,8/10/2016,Hobsons Bay
154,Altona,510000.0,10/09/2016,Hobsons Bay
155,Altona,1070000.0,10/09/2016,Hobsons Bay
156,Altona,425000.0,10/09/2016,Hobsons Bay
157,Altona,605000.0,10/12/2016,Hobsons Bay
158,Altona,705000.0,11/02/2017,Hobsons Bay
159,Altona,391000.0,11/02/2017,Hobsons Bay
160,Altona,440000.0,11/02/2017,Hobsons Bay
161,Altona,845000.0,11/02/2017,Hobsons Bay
162,Altona,743000.0,12/11/2016,Hobsons Bay
163,Altona,730000.0,13/08/2016,Hobsons Bay
164,Altona,635000.0,14/05/2016,Hobsons Bay
165,Altona,620000.0,14/05/2016,Hobsons Bay
166,Altona,447000.0,15/10/2016,Hobsons Bay
167,Altona,730000.0,16/04/2016,Hobsons Bay
168,Altona,678000.0,16/04/2016,Hobsons Bay
169,Altona,580000.0,16/07/2016,Hobsons Bay
170,Altona,712000.0,17/09/2016,Hobsons Bay
171,Altona,840000.0,18/03/2017,Hobsons Bay
172,Altona,980000.0,19/11/2016,Hobsons Bay
173,Altona,605100.0,22/05/2016,Hobsons Bay
174,Altona,880000.0,22/08/2016,Hobsons Bay
175,Altona,577000.0,23/04/2016,Hobsons Bay
176,Altona,1030000.0,25/02/2017,Hobsons Bay
177,Altona,605000.0,25/02/2017,Hobsons Bay
178,Altona,753000.0,27/06/2016,Hobsons Bay
179,Altona,857000.0,27/11/2016,Hobsons Bay
180,Altona,1500000.0,28/05/2016,Hobsons Bay
181,Altona,730000.0,28/05/2016,Hobsons Bay
182,Altona,900000.0,28/05/2016,Hobsons Bay
183,Altona,740000.0,28/08/2016,Hobsons Bay
184,Altona,931000.0,28/08/2016,Hobsons Bay
185,Altona,535600.0,30/07/2016,Hobsons Bay
186,Altona North,1085000.0,3/09/2016,Hobsons Bay
187,Altona North,781000.0,3/09/2016,Hobsons Bay
188,Altona North,750000.0,4/03/2017,Hobsons Bay
189,Altona North,421000.0,4/03/2017,Hobsons Bay
190,Altona North,1405000.0,4/03/2017,Hobsons Bay
191,Altona North,683000.0,4/06/2016,Hobsons Bay
192,Altona North,623000.0,4/06/2016,Hobsons Bay
193,Altona North,720000.0,6/08/2016,Hobsons Bay
194,Altona North,588000.0,7/05/2016,Hobsons Bay
195,Altona North,710000.0,7/11/2016,Hobsons Bay
196,Altona North,875000.0,8/10/2016,Hobsons Bay
197,Altona North,700000.0,10/12/2016,Hobsons Bay
198,Altona North,640000.0,11/03/2017,Hobsons Bay
199,Altona North,650000.0,12/06/2016,Hobsons Bay
200,Altona North,675000.0,14/05/2016,Hobsons Bay
201,Altona North,708000.0,15/10/2016,Hobsons Bay
202,Altona North,965000.0,15/10/2016,Hobsons Bay
203,Altona North,680000.0,19/11/2016,Hobsons Bay
204,Altona North,770000.0,19/11/2016,Hobsons Bay
205,Altona North,923000.0,22/05/2016,Hobsons Bay
206,Altona North,693000.0,22/05/2016,Hobsons Bay
207,Altona North,620000.0,22/08/2016,Hobsons Bay
208,Altona North,728500.0,22/08/2016,Hobsons Bay
209,Altona North,931000.0,22/08/2016,Hobsons Bay
210,Altona North,988000.0,22/08/2016,Hobsons Bay
211,Altona North,590000.0,23/04/2016,Hobsons Bay
212,Altona North,610000.0,24/09/2016,Hobsons Bay
213,Altona North,815000.0,25/02/2017,Hobsons Bay
214,Altona North,970000.0,25/02/2017,Hobsons Bay
