Suburb,Price,Date
Flemington,957000,22/05/2016
Kensington,785000,3/9/2016
Kensington,852000,3/9/2016
Kensington,1037000,3/9/2016
Kensington,775000,3/12/2016
Kensington,1470000,4/3/2017
Kensington,630000,4/3/2017
Kensington,492500,4/6/2016
Kensington,420000,4/6/2016
Kensington,650000,4/6/2016
Kensington,1050000,4/6/2016
Kensington,1291000,6/8/2016
Kensington,420000,6/8/2016
Kensington,961000,7/5/2016
Kensington,1271000,7/5/2016
Kensington,1010000,7/5/2016
Kensington,750000,7/5/2016
Kensington,1675000,7/5/2016
Kensington,905000,8/10/2016
Kensington,960000,8/10/2016
Kensington,1031000,8/10/2016
Kensington,918000,8/10/2016
Kensington,870000,8/10/2016
Kensington,1165000,10/9/2016
Kensington,1710000,10/9/2016
Kensington,360000,10/12/2016
Kensington,1455000,10/12/2016
Kensington,365000,10/12/2016
Kensington,551000,10/12/2016
Kensington,442000,10/12/2016
Kensington,765000,10/12/2016
Kensington,515000,11/2/2017
Kensington,370000,12/6/2016
Kensington,1005000,12/11/2016
Kensington,1234500,13/08/2016
Kensington,666000,13/08/2016
Kensington,825000,14/05/2016
Kensington,770000,14/05/2016
Kensington,1135000,15/10/2016
Kensington,975000,15/10/2016
Kensington,812000,16/04/2016
Kensington,1900000,16/04/2016
Kensington,732000,18/06/2016
Kensington,1260000,19/11/2016
Kensington,1000000,19/11/2016
Kensington,700000,19/11/2016
Kensington,813500,22/05/2016
Kensington,526000,22/08/2016
Kensington,790000,22/08/2016
Kensington,700000,22/08/2016
Kensington,370000,22/08/2016
Kensington,1230000,22/08/2016
Kensington,460000,23/04/2016
Kensington,395000,23/04/2016
Kensington,1001000,24/09/2016
Kensington,850000,24/09/2016
Kensington,1335000,25/02/2017
Kensington,868000,25/02/2017
Kensington,960000,26/07/2016
Kensington,773000,26/07/2016
Kensington,631090,27/06/2016
Kensington,410000,27/06/2016
Kensington,425000,27/11/2016
Kensington,1211000,27/11/2016
Kensington,506000,27/11/2016
Kensington,806000,28/05/2016
Kensington,829000,28/05/2016
Kensington,786000,28/08/2016
Kensington,458000,30/07/2016
Melbourne,427000,3/12/2016
Melbourne,1160500,4/3/2017
Melbourne,780000,4/6/2016
Melbourne,535000,7/5/2016
Melbourne,450000,7/11/2016
Melbourne,360000,7/11/2016
Melbourne,665000,7/11/2016
Melbourne,386000,10/9/2016
Melbourne,659000,10/9/2016
Melbourne,671000,10/12/2016
Melbourne,545000,12/11/2016
Melbourne,450000,12/11/2016
Melbourne,432000,13/08/2016
Melbourne,400000,13/08/2016
Melbourne,210000,13/08/2016
Melbourne,750000,15/10/2016
Melbourne,375000,15/10/2016
Melbourne,680000,17/09/2016
Melbourne,470000,18/03/2017
Melbourne,650000,18/03/2017
Melbourne,483000,18/03/2017
Melbourne,610000,18/06/2016
Melbourne,700000,19/11/2016
Melbourne,520000,19/11/2016
Melbourne,440000,22/08/2016
Melbourne,436000,23/04/2016
Melbourne,733000,24/09/2016
Melbourne,675000,24/09/2016
Melbourne,1630000,25/02/2017
Melbourne,760000,28/05/2016
Melbourne,360000,28/08/2016
Melbourne,390000,30/07/2016
North Melbourne,2920000,3/9/2016
North Melbourne,1635000,3/9/2016
North Melbourne,491000,3/9/2016
North Melbourne,540000,3/12/2016
North Melbourne,340000,3/12/2016
North Melbourne,726000,4/3/2017
North Melbourne,1340000,4/3/2017
